state,class,name,party,private_sector_experience,prior_position,education,assumed_office,dob,term_expires
Alabama,3,Richard Shelby,Republican,,"U.S. House, Alabama Senate",University of Alabama (B.A.; LL.B.),1/3/1987,5/6/1934,1/3/2017
Alabama,2,Jeff Sessions,Republican,lawyer in private practice,"Alabama Attorney General, U.S. Attorney for the Southern District of Alabama",Huntingdon College (B.A.)  University of Alabama (J.D.),1/3/1997,12/24/1946,1/3/2021
Alaska,3,Lisa Murkowski,Republican,lawyer in private practice,Alaska House of Representatives,Georgetown University (B.A.)  Willamette University (J.D.),12/20/2002,5/22/1957,1/3/2017
Alaska,2,Dan Sullivan,Republican,,"Commissioner of the Alaska Department of Natural Resources, Alaska Attorney General, Assistant U.S. Secretary of State for Economic and Business Affairs",Harvard College  Georgetown University,1/3/2015,11/13/1964,1/3/2021
Arizona,3,John McCain,Republican,,"U.S. House, U.S. Navy Captain",United States Naval Academy (B.S.),1/3/1987,8/29/1936,1/3/2017
Arizona,1,Jeff Flake,Republican,nonprofit director,U.S. House,Brigham Young University (B.A.),1/3/2013,12/31/1962,1/3/2019
Arkansas,3,John Boozman,Republican,optometrist,"Rogers Public School board member, U.S. House",University of Arkansas (attended)  Southern College of Optometry (O.D.),1/3/2011,12/10/1950,1/3/2017
Arkansas,2,Tom Cotton,Republican,,U.S. House,Harvard University  Claremont Graduate University,1/3/2015,5/13/1977,1/3/2021
California,1,Dianne Feinstein,Democratic,,"Mayor of San Francisco, San Francisco Board of Supervisors",Stanford University (B.A.),11/10/1992,6/22/1933,1/3/2019
California,3,Barbara Boxer,Democratic,"stockbroker, journalist","U.S. House, Marin County Board of Supervisors",Brooklyn College (B.A.),1/3/1993,11/11/1940,1/3/2017
Colorado,3,Michael Bennet,Democratic,managing director of an investment firm,Denver Public Schools Superintendent,Wesleyan University (B.A.)  Yale University (J.D.),1/21/2009,11/28/1964,1/3/2017
Colorado,2,Cory Gardner,Republican,,"U.S. House, Colorado House of Representatives",Colorado State University  University of Colorado Law School,1/3/2015,8/22/1974,1/3/2021
Connecticut,3,Richard Blumenthal,Democratic,,"Connecticut Attorney General, Connecticut Senate, Connecticut House of Representatives","Harvard University (B.A.)  Trinity College, Cambridge (attended)  Yale University (J.D.)",1/5/2011,2/13/1946,1/3/2017
Connecticut,1,Chris Murphy,Democratic,,"U.S. House, Connecticut Senate, Connecticut House of Representatives","Williams College (B.A.)  Exeter College, Oxford (attended)  University of Connecticut (J.D.)",1/3/2013,8/3/1973,1/3/2019
Delaware,1,Tom Carper,Democratic,,"Governor of Delaware, U.S. House, Delaware State Treasurer",The Ohio State University (B.A.)  University of Delaware (M.B.A.),1/3/2001,1/23/1947,1/3/2019
Delaware,2,Chris Coons,Democratic,"volunteer, director for nonprofits, lawyer for a manufacturer",County Executive of New Castle County,Amherst College (B.A.)  University of Nairobi (attended)  Yale University (J.D.; M.A.),11/15/2010,9/9/1963,1/3/2021
Florida,1,Bill Nelson,Democratic,"lawyer in private practice, astronaut","Florida State Treasurer, U.S. House, Florida House of Representatives",University of Florida (attended)  Yale University (B.A.)  University of Virginia (J.D.),1/3/2001,9/29/1942,1/3/2019
Florida,3,Marco Rubio,Republican,,Speaker of the Florida House of Representatives,University of Florida (B.A.)  University of Miami (J.D.),1/3/2011,5/28/1971,1/3/2017
Georgia,3,Johnny Isakson,Republican,real estate broker,"U.S. House, Georgia Senate, Georgia House of Representatives",University of Georgia (B.B.A.),1/3/2005,12/28/1944,1/3/2017
Georgia,2,David Perdue,Republican,business owner,,Georgia Institute of Technology,1/3/2015,12/10/1949,1/3/2021
Hawaii,3,Brian Schatz,Democratic,"CEO, director of nonprofits","Lieutenant Governor of Hawaii, Hawaii House of Representatives",Pomona College (B.A.),12/26/2012,10/20/1972,1/3/2017
Hawaii,1,Mazie Hirono,Democratic,lawyer in private practice,"U.S. House, Hawaii House of Representatives, Lieutenant Governor of Hawaii",University of Hawaii at Manoa (B.A.)  Georgetown University (J.D.),1/3/2013,11/3/1947,1/3/2019
Idaho,3,Mike Crapo,Republican,,"U.S. House, Idaho Senate",Brigham Young University (B.A.)  Harvard University (J.D.),1/3/1999,5/20/1951,1/3/2017
Idaho,2,Jim Risch,Republican,"professor, rancher, president of nonprofit","Governor of Idaho, Lieutenant Governor of Idaho, President pro tempore of the Idaho Senate, Ada County Prosecuting Attorney",University of Wisconsin–Milwaukee (attended)  University of Idaho (B.S.; J.D.),1/3/2009,5/3/1943,1/3/2021
Illinois,2,Dick Durbin,Democratic,"meatpacking plant laborer, lawyer in private practice, professor",U.S. House,Georgetown University (B.S.; J.D.),1/3/1997,11/21/1944,1/3/2021
Illinois,3,Mark Kirk,Republican,teacher at a private school,U.S. House,Cornell University (B.A.)  London School of Economics (M.A.)  Georgetown University (J.D.),11/29/2010,9/15/1959,1/3/2017
Indiana,3,Dan Coats,Republican,worker at a life insurance firm,"U.S. Ambassador to Germany, U.S. Senate, U.S. House",Wheaton College (B.A.)  Indiana University – Purdue University Indianapolis (J.D.),1/3/2011,5/16/1943,1/3/2017
Indiana,1,Joe Donnelly,Democratic,"printer, lawyer in a law firm",U.S. House,University of Notre Dame (B.A.; J.D.),1/3/2013,9/29/1955,1/3/2019
Iowa,3,Chuck Grassley,Republican,"farmer, factory worker","U.S. House, Iowa House of Representatives",University of Northern Iowa (B.A.; M.A.),1/3/1981,9/17/1933,1/3/2017
Iowa,2,Joni Ernst,Republican,farmer,Iowa Senate,Iowa State University  Columbus State University,1/3/2015,7/1/1970,1/3/2021
Kansas,2,Pat Roberts,Republican,journalist,U.S. House,Kansas State University (B.A.),1/3/1997,4/20/1936,1/3/2021
Kansas,3,Jerry Moran,Republican,"banker, lawyer in a law firm","U.S. House, Kansas Senate",Fort Hays State University (attended)  University of Kansas (B.A.; J.D.),1/3/2011,5/29/1954,1/3/2017
Kentucky,2,Mitch McConnell,Republican,,Jefferson County Executive,University of Louisville (B.A.)  University of Kentucky (J.D.),1/3/1985,2/20/1942,1/3/2021
Kentucky,3,Rand Paul,Republican,ophthalmologist,Congressional Intern,Baylor University (attended)  Duke University (M.D.),1/3/2011,1/7/1963,1/3/2017
Louisiana,3,David Vitter,Republican,"lawyer in private practice, professor","U.S. House, Louisiana House of Representatives","Harvard University (A.B.)  Magdalen College, Oxford (B.A.)  Tulane University (J.D.)",1/3/2005,5/3/1961,1/3/2017
Louisiana,2,Bill Cassidy,Republican,physician,"U.S. House, Louisiana Senate",Louisiana State University(B.A.)  LSU Health Sciences Center New Orleans (M.D.),1/3/2015,9/28/1957,1/3/2021
Maine,2,Susan Collins,Republican,,Commissioner of the Maine Department of Professional and Financial Regulation,St. Lawrence University (B.A.),1/3/1997,12/7/1952,1/3/2021
Maine,1,Angus King,Independent,founder and vice-president of energy companies,Governor of Maine,Dartmouth College (B.A.)  University of Virginia (J.D.),1/3/2013,3/31/1944,1/3/2019
Maryland,3,Barbara Mikulski,Democratic,social worker,"U.S. House, Baltimore City Council","Mount Saint Agnes College (B.A.)  University of Maryland, Baltimore (M.S.W.)",1/3/1987,7/20/1936,1/3/2017
Maryland,1,Ben Cardin,Democratic,lawyer in private practice,"U.S. House, Maryland House of Delegates","University of Pittsburgh (B.A.)  University of Maryland, Baltimore (J.D.)",1/3/2007,10/5/1943,1/3/2019
Massachusetts,1,Elizabeth Warren,Democratic,"lawyer at a law firm and in private practice, law school professor, research associate, vice-president of a nonprofit",Special Assistant to the President,"George Washington University (attended)  University of Houston (B.A.)  Rutgers University, Newark (J.D.)",1/3/2013,6/22/1949,1/3/2019
Massachusetts,2,Ed Markey,Democratic,lawyer in private practice,"U.S. House, Massachusetts House",Boston College (B.A.; J.D.),7/16/2013,7/11/1946,1/3/2021
